Year,Player,Team,Matches,Balls,Overs,Runs Given,Wickets,Economy Rate,Average,Strike Rate,Dots,4s,6s,Boundaries Conceded,Wides,No Balls,Extras Given
2023,JR Hazlewood,Royal Challengers Bengaluru,3,54,9.0,76,3,8.44,25.33,18.0,29,8,4,12,1,4,5
2023,K Gowtham,Lucknow Super Giants,6,96,16.0,118,3,7.38,39.33,32.0,39,7,5,12,4,0,4
2023,K Kartikeya,Mumbai Indians,8,156,26.0,227,5,8.73,45.4,31.2,40,11,13,24,8,0,8
2023,K Khejroliya,Kolkata Knight Riders,2,26,4.2,64,2,14.77,32.0,13.0,7,5,4,9,0,4,4
2023,K Rabada,Punjab Kings,6,138,23.0,232,7,10.09,33.14,19.71,58,18,17,35,6,8,15
2023,K Yadav,Rajasthan Royals,2,42,7.0,68,2,9.71,34.0,21.0,9,3,4,7,0,0,0
2023,KH Pandya,Lucknow Super Giants,12,252,42.0,313,9,7.45,34.78,28.0,92,30,11,41,1,0,1
2023,KK Ahmed,Delhi Capitals,9,198,33.0,301,9,9.12,33.44,22.0,81,31,14,45,14,6,20
2023,KM Asif,Rajasthan Royals,4,84,14.0,138,3,9.86,46.0,28.0,28,8,8,16,8,0,9
2023,KR Mayers,Lucknow Super Giants,6,42,7.0,59,0,8.43,,,14,8,0,8,2,4,6
2023,KR Sen,Rajasthan Royals,2,18,3.0,28,0,9.33,,,5,3,1,4,0,5,5
2023,KV Sharma,Royal Challengers Bengaluru,7,129,21.3,223,10,10.37,22.3,12.9,37,12,17,29,3,0,3
2023,Kartik Tyagi,Sunrisers Hyderabad,3,37,6.1,92,1,14.92,92.0,37.0,10,13,3,16,3,11,14
2023,Kuldeep Yadav,Delhi Capitals,14,294,49.0,361,10,7.37,36.1,29.4,82,14,18,32,6,0,6
2023,LH Ferguson,Kolkata Knight Riders,3,46,7.4,96,1,12.52,96.0,46.0,14,9,5,14,6,10,16
2023,LS Livingstone,Punjab Kings,5,42,7.0,94,2,13.43,47.0,21.0,5,15,2,17,0,0,0
2023,Lalit Yadav,Delhi Capitals,4,78,13.0,118,2,9.08,59.0,39.0,22,6,8,14,4,0,4
2023,M Ashwin,Rajasthan Royals,2,24,4.0,53,0,13.25,,,3,2,4,6,0,1,1
2023,M Jansen,Sunrisers Hyderabad,8,162,27.0,267,10,9.89,26.7,16.2,67,28,12,40,15,20,36
2023,M Markande,Sunrisers Hyderabad,10,228,38.0,300,12,7.89,25.0,19.0,76,25,12,37,3,0,3
2023,M Pathirana,Chennai Super Kings,12,278,46.2,371,19,8.01,19.53,14.63,95,27,9,36,41,1,42
2023,M Theekshana,Chennai Super Kings,13,294,49.0,392,11,8.0,35.64,26.73,81,30,13,43,5,0,5
2023,MA Wood,Lucknow Super Giants,4,96,16.0,130,11,8.12,11.82,8.73,42,7,10,17,5,1,6
2023,MG Bracewell,Royal Challengers Bengaluru,5,66,11.0,95,6,8.64,15.83,11.0,26,7,6,13,0,0,0
2023,MJ Santner,Chennai Super Kings,3,72,12.0,81,3,6.75,27.0,24.0,21,8,1,9,0,0,0
2023,MK Lomror,Royal Challengers Bengaluru,2,12,2.0,17,0,8.5,,,3,1,1,2,0,0,0
2023,MM Ali,Chennai Super Kings,11,156,26.0,195,9,7.5,21.67,17.33,54,8,12,20,1,0,1
2023,MM Sharma,Gujarat Titans,14,265,44.1,361,27,8.17,13.37,9.81,86,28,16,44,3,0,3
2023,MP Stoinis,Lucknow Super Giants,5,65,10.5,100,5,9.23,20.0,13.0,22,8,5,13,4,0,4
2023,MR Marsh,Delhi Capitals,8,121,20.1,170,12,8.43,14.17,10.08,34,8,8,16,10,1,11
2023,MW Short,Punjab Kings,3,24,4.0,25,0,6.25,,,11,2,1,3,1,0,1
2023,Mayank Dagar,Sunrisers Hyderabad,3,66,11.0,83,1,7.55,83.0,66.0,22,7,3,10,0,0,0
2023,Mohammed Shami,Gujarat Titans,17,390,65.0,522,28,8.03,18.64,13.93,184,56,21,77,17,1,19
