Year,Player,Team,Match Number,Opposition,Date,Balls,Overs,Runs Given,Wickets,Economy Rate,Average,Strike Rate,Dots,4s,6s,Boundaries Conceded,Wides,No Balls,Extras Given,Result
2008,RR Raje,Mumbai Indians,6,Delhi Capitals,2008-05-04,12,2.0,13,0,6.5,,,3,1,0,1,0,0,0,Won
2008,SM Pollock,Mumbai Indians,6,Delhi Capitals,2008-05-04,24,4.0,16,2,4.0,8.0,12.0,15,0,1,1,0,0,0,Won
2008,ST Jayasuriya,Mumbai Indians,6,Delhi Capitals,2008-05-04,6,1.0,16,0,16.0,,,0,0,2,2,0,0,0,Won
2008,A Nehra,Mumbai Indians,7,Rajasthan Royals,2008-05-07,18,3.0,13,3,4.33,4.33,6.0,12,2,0,2,0,0,0,Won
2008,DJ Bravo,Mumbai Indians,7,Rajasthan Royals,2008-05-07,14,2.2,12,2,5.14,6.0,7.0,6,0,0,0,4,0,4,Won
2008,DS Kulkarni,Mumbai Indians,7,Rajasthan Royals,2008-05-07,18,3.0,21,2,7.0,10.5,9.0,10,1,2,3,0,0,0,Won
2008,RR Raje,Mumbai Indians,7,Rajasthan Royals,2008-05-07,18,3.0,19,2,6.33,9.5,9.0,6,2,0,2,1,0,1,Won
2008,SM Pollock,Mumbai Indians,7,Rajasthan Royals,2008-05-07,18,3.0,19,1,6.33,19.0,18.0,7,2,0,2,0,0,0,Won
2008,ST Jayasuriya,Mumbai Indians,7,Rajasthan Royals,2008-05-07,12,2.0,17,0,8.5,,,2,2,0,2,0,0,0,Won
2008,A Nehra,Mumbai Indians,9,Chennai Super Kings,2008-05-14,24,4.0,31,0,7.75,,,11,6,0,6,1,0,1,Won
2008,DJ Bravo,Mumbai Indians,9,Chennai Super Kings,2008-05-14,24,4.0,37,2,9.25,18.5,12.0,9,4,2,6,0,0,0,Won
2008,DJ Thornely,Mumbai Indians,9,Chennai Super Kings,2008-05-14,6,1.0,10,0,10.0,,,3,2,0,2,1,0,1,Won
2008,DS Kulkarni,Mumbai Indians,9,Chennai Super Kings,2008-05-14,24,4.0,33,3,8.25,11.0,8.0,13,5,0,5,6,0,6,Won
2008,RR Raje,Mumbai Indians,9,Chennai Super Kings,2008-05-14,18,3.0,33,0,11.0,,,3,4,1,5,1,0,1,Won
2008,SM Pollock,Mumbai Indians,9,Chennai Super Kings,2008-05-14,24,4.0,9,1,2.25,9.0,24.0,17,0,0,0,0,0,0,Won
2008,A Nehra,Mumbai Indians,10,Kolkata Knight Riders,2008-05-16,18,3.0,17,0,5.67,,,11,1,1,2,3,0,3,Won
2008,DJ Bravo,Mumbai Indians,10,Kolkata Knight Riders,2008-05-16,18,3.0,13,2,4.33,6.5,9.0,12,2,0,2,1,0,1,Won
2008,DJ Thornely,Mumbai Indians,10,Kolkata Knight Riders,2008-05-16,18,3.0,7,2,2.33,3.5,9.0,12,0,0,0,1,0,1,Won
2008,RR Raje,Mumbai Indians,10,Kolkata Knight Riders,2008-05-16,14,2.2,16,2,6.86,8.0,7.0,7,3,0,3,0,0,0,Won
2008,SM Pollock,Mumbai Indians,10,Kolkata Knight Riders,2008-05-16,24,4.0,12,3,3.0,4.0,8.0,17,1,0,1,1,0,1,Won
2008,A Nehra,Mumbai Indians,11,Deccan Chargers,2008-05-18,24,4.0,29,0,7.25,,,9,2,2,4,0,0,0,Won
2008,AM Nayar,Mumbai Indians,11,Deccan Chargers,2008-05-18,18,3.0,18,1,6.0,18.0,18.0,8,1,1,2,0,0,0,Won
2008,CRD Fernando,Mumbai Indians,11,Deccan Chargers,2008-05-18,24,4.0,38,2,9.5,19.0,12.0,8,2,2,4,1,2,3,Won
2008,DJ Bravo,Mumbai Indians,11,Deccan Chargers,2008-05-18,24,4.0,24,3,6.0,8.0,8.0,12,2,1,3,1,0,1,Won
2008,DJ Thornely,Mumbai Indians,11,Deccan Chargers,2008-05-18,6,1.0,8,0,8.0,,,1,1,0,1,0,0,0,Won
2008,RR Raje,Mumbai Indians,11,Deccan Chargers,2008-05-18,12,2.0,19,0,9.5,,,4,3,0,3,1,0,1,Won
2008,ST Jayasuriya,Mumbai Indians,11,Deccan Chargers,2008-05-18,12,2.0,13,0,6.5,,,5,2,0,2,0,0,0,Won
2008,A Nehra,Mumbai Indians,12,Punjab Kings,2008-05-21,18,3.0,34,0,11.33,,,8,4,2,6,2,0,2,Lost
2008,CRD Fernando,Mumbai Indians,12,Punjab Kings,2008-05-21,24,4.0,36,1,9.0,36.0,24.0,9,5,1,6,0,0,0,Lost
2008,DR Smith,Mumbai Indians,12,Punjab Kings,2008-05-21,12,2.0,19,0,9.5,,,4,1,1,2,1,0,1,Lost
2008,SD Chitnis,Mumbai Indians,12,Punjab Kings,2008-05-21,24,4.0,40,2,10.0,20.0,12.0,6,2,2,4,5,0,5,Lost
2008,SM Pollock,Mumbai Indians,12,Punjab Kings,2008-05-21,18,3.0,14,1,4.67,14.0,18.0,10,1,0,1,0,0,0,Lost
2008,VS Yeligati,Mumbai Indians,12,Punjab Kings,2008-05-21,24,4.0,43,0,10.75,,,5,5,2,7,1,0,1,Lost
2008,A Nehra,Mumbai Indians,13,Delhi Capitals,2008-05-24,23,3.5,30,1,7.83,30.0,23.0,8,5,0,5,0,0,0,Lost
2008,A Nel,Mumbai Indians,13,Delhi Capitals,2008-05-24,18,3.0,31,1,10.33,31.0,18.0,7,3,2,5,0,0,0,Lost
2008,DR Smith,Mumbai Indians,13,Delhi Capitals,2008-05-24,18,3.0,22,2,7.33,11.0,9.0,7,3,0,3,1,0,1,Lost
2008,DS Kulkarni,Mumbai Indians,13,Delhi Capitals,2008-05-24,18,3.0,26,0,8.67,,,6,3,1,4,0,0,0,Lost
2008,SM Pollock,Mumbai Indians,13,Delhi Capitals,2008-05-24,18,3.0,33,0,11.0,,,7,4,2,6,0,0,0,Lost
2008,ST Jayasuriya,Mumbai Indians,13,Delhi Capitals,2008-05-24,24,4.0,35,0,8.75,,,4,2,1,3,0,0,0,Lost
2008,A Nehra,Mumbai Indians,14,Rajasthan Royals,2008-05-26,18,3.0,18,0,6.0,,,9,3,0,3,1,0,1,Lost
2008,AM Nayar,Mumbai Indians,14,Rajasthan Royals,2008-05-26,6,1.0,4,0,4.0,,,2,0,0,0,0,0,0,Lost
2008,CRD Fernando,Mumbai Indians,14,Rajasthan Royals,2008-05-26,24,4.0,27,2,6.75,13.5,12.0,9,1,1,2,3,0,3,Lost
2008,DR Smith,Mumbai Indians,14,Rajasthan Royals,2008-05-26,12,2.0,16,0,8.0,,,3,2,0,2,0,0,0,Lost
2008,RR Raje,Mumbai Indians,14,Rajasthan Royals,2008-05-26,24,4.0,37,1,9.25,37.0,24.0,5,2,1,3,0,2,2,Lost
2008,SM Pollock,Mumbai Indians,14,Rajasthan Royals,2008-05-26,24,4.0,26,0,6.5,,,9,3,0,3,1,0,1,Lost
2008,ST Jayasuriya,Mumbai Indians,14,Rajasthan Royals,2008-05-26,12,2.0,8,0,4.0,,,5,0,0,0,0,0,0,Lost
2008,A Nehra,Mumbai Indians,8,Royal Challengers Bengaluru,2008-05-28,18,3.0,21,1,7.0,21.0,18.0,8,3,0,3,0,0,0,Won
2008,CRD Fernando,Mumbai Indians,8,Royal Challengers Bengaluru,2008-05-28,24,4.0,18,4,4.5,4.5,6.0,16,1,1,2,1,0,1,Won
2008,DR Smith,Mumbai Indians,8,Royal Challengers Bengaluru,2008-05-28,24,4.0,26,3,6.5,8.67,8.0,11,2,0,2,5,0,5,Won
2008,DS Kulkarni,Mumbai Indians,8,Royal Challengers Bengaluru,2008-05-28,18,3.0,34,0,11.33,,,5,3,1,4,4,5,9,Won
2008,SM Pollock,Mumbai Indians,8,Royal Challengers Bengaluru,2008-05-28,24,4.0,23,0,5.75,,,9,2,0,2,0,0,0,Won
2008,B Lee,Punjab Kings,1,Chennai Super Kings,2008-04-19,24,4.0,35,1,8.75,35.0,24.0,11,5,1,6,0,5,5,Lost
2008,IK Pathan,Punjab Kings,1,Chennai Super Kings,2008-04-19,24,4.0,47,2,11.75,23.5,12.0,6,4,3,7,0,0,0,Lost
2008,JR Hopes,Punjab Kings,1,Chennai Super Kings,2008-04-19,24,4.0,53,1,13.25,53.0,24.0,7,2,6,8,0,0,0,Lost
2008,K Goel,Punjab Kings,1,Chennai Super Kings,2008-04-19,12,2.0,25,0,12.5,,,2,1,2,3,0,0,0,Lost
